id,store_name,store_unique_id,store_channel,conf,thresh,snaps_path,number_of_snaps,hourly_api,total_api,device,time,date,market_id,status,current_status_id
127,Simmons Plaza,70159761,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-03-30,38,1,2
128,South Ave,70163249,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,40,0,2
129,State St,70144444,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,3,0,2
130,Tarboro,70158678,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-03-30,51,1,2
131,Taylorsville,70158686,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-03-30,25,1,2
132,Tradewinds,70164757,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-03-30,47,1,2
133,Traverse City,70144596,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-03-30,48,1,2
134,Troy,70144443,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-15,3,1,2
135,Upper Darby,70162482,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-03-30,52,1,2
136,"Weslaco, TX",70164767,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-03-30,27,1,2
137,West Lafayette,70144702,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,19,0,2
138,White Road,70152263,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,1,1,1, ,9,2021-05-20,42,1,2
139,Wichita Falls,70144431,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-03-30,45,1,2
140,Williamston,70158683,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,51,0,2
141,Willow Springs,70145380,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,7,0,2
142,Wilson,70144467,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,51,0,2
143,Beaver Dam,70144956,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-03-30,36,1,2
144,Mount Airy,70144944,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,25,0,2
145,Kissimmee,70144523,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,54,1,2
146,West Memphis,70164424,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,11,1,2
147,Potranco,70152363,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,49,1,2
148,Eastern Village,70161253,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,55,1,2
149,Ridge Rd,70160346,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,40,1,2
150,Trumann,70164783,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,11,1,2
151,Tomah,70144895,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,56,1,2
152,Greenwood,70150265,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,50,1,2
153,Bandera,70152327,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,49,1,2
154,North Freeway,70144537,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,17,1,2
155,Greece,70160669,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-14,40,1,2
156,Penn 39,70143301,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,57,0,2
157,Research Blvd,70145257,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,58,1,2
158,Westernview,70143680,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,57,0,2
159,Villa Ave,70143701,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,57,1,2
160,Dallas 2 (Lancaster),70144970,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,45,1,2
161,Airline,70144326,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,17,1,2
162,Beloit,70144977,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,59,0,2
163,Madison,70144976,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,59,1,2
164,Freeport,70144975,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,59,1,2
165,Fern Park,70144965,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,60,1,2
166,Vernor,70144966,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,35,1,2
167,Boca Chica,70164784,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,27,1,2
168,Viadelmar,70164782,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,62,1,2
169,Hwy 58,70164778,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,16,1,2
170,HWY 159,70164764,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,46,1,2
171,Schnuck's Plaza,70164763,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,46,0,2
172,Neenah,70144434,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,63,0,2
173,Chippewa,70164761,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,46,1,2
174,Naomi Dr,70164758,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,47,1,2
175,Mason,70144435,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,63,1,2
176,Hazelwood,70164756,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,47,1,2
177,Southland,70164755,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,47,0,2
178,Melrose,70144448,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,45,1,2
179,Old Hickory,70164749,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,43,0,2
180,Clarksville,70164713,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,47,1,2
181,Fond Du Lac,70144449,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,63,1,2
182,Amarillo,70144456,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,45,1,2
183,Mansfield,70144466,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,12,1,2
184,Beckley,70144493,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,30,1,2
185,New Haven,70144511,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,6,1,2
186,North Blvd,70144655,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,12,0,2
187,New London,70144662,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,41,0,2
188,Clinton Hwy,70164618,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,9,1,2
189,Cleveland,70164304,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,11,1,2
190,Burgess,70162270,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,52,1,2
191,Marquette,70144708,4,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,41,1,2
192,Orleans ST,70161347,3,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,55,1,2
193,Menomonie,70144812,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,56,0,2
194,Stewart Ave,70159757,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,64,1,2
195,Iron Mountain,70144814,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-05-04,41,0,2
196,Lake Plaza,70159755,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,64,1,2
197,Craig Road,70159754,2,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,64,1,2
198,Goshen,70144815,1,25,45,/media/live/livedb/cams/Compliefile/C:/Store_Cam_picture/,6,1,1, ,9,2021-04-20,15,1,2
